[25/Oct/2020 13:47:21] DEBUG [django.db.backends:110] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[25/Oct/2020 13:47:21] DEBUG [django.db.backends:110] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[25/Oct/2020 13:47:21] DEBUG [django.db.backends:110] (0.000) SELECT `tour_seasontour`.`tour_id` FROM `tour_seasontour` WHERE NOT (`tour_seasontour`.`hide` = 1) ORDER BY `tour_seasontour`.`id` DESC; args=(True,)
[25/Oct/2020 13:47:21] DEBUG [django.db.backends:110] (0.000) SELECT `tour_seasontour`.`id`, `tour_seasontour`.`tour_id`, `tour_seasontour`.`sub_title`, `tour_seasontour`.`button_text`, `tour_seasontour`.`banner`, `tour_seasontour`.`crop_banner`, `tour_seasontour`.`hide` FROM `tour_seasontour` WHERE NOT (`tour_seasontour`.`hide` = 1) ORDER BY `tour_seasontour`.`id` DESC; args=(True,)
[25/Oct/2020 13:47:21] DEBUG [django.db.backends:110] (0.000) SELECT `tour_tour`.`id`, `tour_tour`.`name`, `tour_tour`.`category_id`, `tour_tour`.`viewpoint`, `tour_tour`.`content`, `tour_tour`.`photo1`, `tour_tour`.`crop_photo1`, `tour_tour`.`photo2`, `tour_tour`.`crop_photo2`, `tour_tour`.`days`, `tour_tour`.`hide`, `tour_tour`.`page_views` FROM `tour_tour` WHERE `tour_tour`.`id` = 33; args=(33,)
[25/Oct/2020 13:47:21] DEBUG [django.db.backends:110] (0.000) SELECT `tour_tour`.`id`, `tour_tour`.`name`, `tour_tour`.`category_id`, `tour_tour`.`viewpoint`, `tour_tour`.`content`, `tour_tour`.`photo1`, `tour_tour`.`crop_photo1`, `tour_tour`.`photo2`, `tour_tour`.`crop_photo2`, `tour_tour`.`days`, `tour_tour`.`hide`, `tour_tour`.`page_views` FROM `tour_tour` WHERE `tour_tour`.`id` = 32; args=(32,)
[25/Oct/2020 13:47:21] DEBUG [django.db.backends:110] (0.000) SELECT `album_album`.`id`, `album_album`.`name`, `album_album`.`company_id`, `album_album`.`travel_date`, `album_album`.`description`, `album_album`.`random_code` FROM `album_album`  LIMIT 21; args=()
[25/Oct/2020 13:47:21] DEBUG [django.db.backends:110] (0.000) SELECT `tour_tour`.`id`, `tour_tour`.`name`, `tour_tour`.`category_id`, `tour_tour`.`viewpoint`, `tour_tour`.`content`, `tour_tour`.`photo1`, `tour_tour`.`crop_photo1`, `tour_tour`.`photo2`, `tour_tour`.`crop_photo2`, `tour_tour`.`days`, `tour_tour`.`hide`, `tour_tour`.`page_views` FROM `tour_tour` WHERE (NOT (`tour_tour`.`id` IN (33, 32, 24, 22, 12, 11)) AND NOT (`tour_tour`.`hide` = 1)) ORDER BY `tour_tour`.`id` DESC  LIMIT 4; args=(33, 32, 24, 22, 12, 11, True)
[25/Oct/2020 13:47:21] DEBUG [django.db.backends:110] (0.000) SELECT `tour_tour`.`id`, `tour_tour`.`name`, `tour_tour`.`category_id`, `tour_tour`.`viewpoint`, `tour_tour`.`content`, `tour_tour`.`photo1`, `tour_tour`.`crop_photo1`, `tour_tour`.`photo2`, `tour_tour`.`crop_photo2`, `tour_tour`.`days`, `tour_tour`.`hide`, `tour_tour`.`page_views` FROM `tour_tour` WHERE `tour_tour`.`id` = 24; args=(24,)
[25/Oct/2020 13:47:21] DEBUG [django.db.backends:110] (0.000) SELECT `tour_tour`.`id`, `tour_tour`.`name`, `tour_tour`.`category_id`, `tour_tour`.`viewpoint`, `tour_tour`.`content`, `tour_tour`.`photo1`, `tour_tour`.`crop_photo1`, `tour_tour`.`photo2`, `tour_tour`.`crop_photo2`, `tour_tour`.`days`, `tour_tour`.`hide`, `tour_tour`.`page_views` FROM `tour_tour` WHERE `tour_tour`.`id` = 22; args=(22,)
[25/Oct/2020 13:47:21] DEBUG [django.db.backends:110] (0.000) SELECT `tour_tour`.`id`, `tour_tour`.`name`, `tour_tour`.`category_id`, `tour_tour`.`viewpoint`, `tour_tour`.`content`, `tour_tour`.`photo1`, `tour_tour`.`crop_photo1`, `tour_tour`.`photo2`, `tour_tour`.`crop_photo2`, `tour_tour`.`days`, `tour_tour`.`hide`, `tour_tour`.`page_views` FROM `tour_tour` WHERE `tour_tour`.`id` = 12; args=(12,)
